[design] balanced_split quad4 entries=112
[device] cuda
[initial] score=633.3274449084 wNMSE=2.3795204 wMSE=153289.4152 wMRED=11.86246824 wER=0.436890 wMAE=201.8958 wBias=99.4712 condBias=218.2938 dotDrift=+16.260sigma uMRED=0.3612703972 uER=0.431641 uMAE=127.0059 WCE=1184 bias=68.0000
[quad_warmup_bit:00000] loss=5.621534 tau=1.50 collapse_w=0.000 mid_frac=0.420 hard=score=633.3274449084 wNMSE=2.3795204 wMSE=153289.4152 wMRED=11.86246824 wER=0.436890 wMAE=201.8958 wBias=99.4712 condBias=218.2938 dotDrift=+16.260sigma uMRED=0.3612703972 uER=0.431641 uMAE=127.0059 WCE=1184 bias=68.0000
[quad_warmup_bit:00075] loss=3.826286 tau=1.50 collapse_w=0.000 mid_frac=0.411 hard=score=606.5712701781 wNMSE=2.0809008 wMSE=134052.2516 wMRED=10.76702895 wER=0.436890 wMAE=181.0766 wBias=97.3692 condBias=206.0473 dotDrift=+17.020sigma uMRED=0.3109843289 uER=0.431641 uMAE=105.6582 WCE=1168 bias=21.8750 *BEST*
[quad_warmup_bit:00100] loss=3.296616 tau=1.50 collapse_w=0.000 mid_frac=0.411 hard=score=594.0545693100 wNMSE=2.059251 wMSE=132657.5637 wMRED=10.74004725 wER=0.437169 wMAE=180.3903 wBias=96.3563 condBias=204.9981 dotDrift=+16.931sigma uMRED=0.3098912789 uER=0.437500 uMAE=105.2012 WCE=1168 bias=20.6875 *BEST*
[quad_warmup_bit:00125] loss=2.801485 tau=1.50 collapse_w=0.000 mid_frac=0.411 hard=score=565.5529562392 wNMSE=2.0767653 wMSE=133785.8375 wMRED=10.75591792 wER=0.437169 wMAE=181.7864 wBias=94.0005 condBias=205.8108 dotDrift=+16.448sigma uMRED=0.3240235622 uER=0.437500 uMAE=116.2812 WCE=1168 bias=-1.2500 *BEST*
[quad_warmup_bit:00150] loss=2.342036 tau=1.50 collapse_w=0.000 mid_frac=0.411 hard=score=398.3408837069 wNMSE=1.6407739 wMSE=105699.1459 wMRED=9.84123979 wER=0.437169 wMAE=166.7711 wBias=78.8588 condBias=185.1215 dotDrift=+15.524sigma uMRED=0.3041441529 uER=0.437500 uMAE=112.2812 WCE=1040 bias=-5.7500 *BEST*
[quad_warmup_bit:00175] loss=1.920371 tau=1.50 collapse_w=0.000 mid_frac=0.411 hard=score=1.3906461712 wNMSE=0.43055791 wMSE=27736.6691 wMRED=5.44271855 wER=0.436912 wMAE=93.4244 wBias=3.1446 condBias=94.4424 dotDrift=+1.208sigma uMRED=0.2092840058 uER=0.431641 uMAE=93.8203 WCE=644 bias=-30.3750 *BEST*
[quad_warmup_bit:00200] loss=1.538792 tau=1.50 collapse_w=0.000 mid_frac=0.402 hard=score=4.9850723566 wNMSE=0.38369507 wMSE=24717.7510 wMRED=4.96709371 wER=0.402633 wMAE=83.8063 wBias=-8.2379 condBias=85.7763 dotDrift=-3.353sigma uMRED=0.1934337016 uER=0.425781 uMAE=87.6719 WCE=644 bias=-40.3750
[quad_warmup_bit:00400] loss=0.257373 tau=1.50 collapse_w=0.000 mid_frac=0.366 hard=score=245.9673703285 wNMSE=1.1129165 wMSE=71694.4126 wMRED=8.28630180 wER=0.402633 wMAE=129.5401 wBias=-61.9563 condBias=145.8733 dotDrift=-14.809sigma uMRED=0.2792253772 uER=0.425781 uMAE=110.0625 WCE=872 bias=-88.7500
[quad_warmup_bit:00600] loss=0.224513 tau=1.50 collapse_w=0.000 mid_frac=0.366 hard=score=239.6723278913 wNMSE=1.1086639 wMSE=71420.4600 wMRED=8.30689193 wER=0.386062 wMAE=129.4215 wBias=-61.1532 condBias=145.5205 dotDrift=-14.645sigma uMRED=0.2829110926 uER=0.414062 uMAE=113.2344 WCE=872 bias=-91.6250
[quad_warmup_bit:00800] loss=0.210851 tau=1.50 collapse_w=0.000 mid_frac=0.357 hard=score=228.3229558837 wNMSE=1.0950613 wMSE=70544.1766 wMRED=8.20746168 wER=0.386062 wMAE=127.7386 wBias=-59.6798 condBias=143.3667 dotDrift=-14.381sigma uMRED=0.2763208801 uER=0.414062 uMAE=108.9219 WCE=856 bias=-87.3750
[quad_warmup_bit:01000] loss=0.200074 tau=1.50 collapse_w=0.000 mid_frac=0.366 hard=score=593.6360449734 wNMSE=0.94074658 wMSE=60603.1753 wMRED=6.19312896 wER=0.340079 wMAE=96.6730 wBias=-96.4771 condBias=176.2661 dotDrift=-25.082sigma uMRED=0.2355117003 uER=0.406250 uMAE=101.2656 WCE=856 bias=-97.3750
[quad_warmup_bit:01200] loss=0.191516 tau=1.50 collapse_w=0.000 mid_frac=0.321 hard=score=570.0205919959 wNMSE=0.90616141 wMSE=58375.1883 wMRED=5.98296874 wER=0.320174 wMAE=94.5381 wBias=-94.5381 condBias=173.0667 dotDrift=-25.042sigma uMRED=0.2320783893 uER=0.394531 uMAE=100.5000 WCE=816 bias=-100.5000
[quad_warmup_bit:01400] loss=0.184202 tau=1.50 collapse_w=0.000 mid_frac=0.321 hard=score=543.0009666847 wNMSE=0.88477643 wMSE=56997.5613 wMRED=5.89370680 wER=0.301318 wMAE=92.2672 wBias=-92.2672 condBias=168.7425 dotDrift=-24.734sigma uMRED=0.2262879830 uER=0.390625 uMAE=97.3750 WCE=816 bias=-97.3750
[quad_warmup_bit:01600] loss=0.177523 tau=1.50 collapse_w=0.000 mid_frac=0.295 hard=score=473.4528141925 wNMSE=0.75844043 wMSE=48858.9583 wMRED=5.39389046 wER=0.297606 wMAE=86.1575 wBias=-86.1575 condBias=156.9916 dotDrift=-24.946sigma uMRED=0.2147905724 uER=0.373047 uMAE=94.6250 WCE=804 bias=-94.6250
[quad_warmup_bit:01800] loss=0.171463 tau=1.50 collapse_w=0.000 mid_frac=0.304 hard=score=439.1666548879 wNMSE=0.73539224 wMSE=47374.1875 wMRED=5.19590355 wER=0.297606 wMAE=82.9728 wBias=-82.9728 condBias=154.5456 dotDrift=-24.397sigma uMRED=0.2074113043 uER=0.373047 uMAE=91.1250 WCE=804 bias=-91.1250
[quad_warmup_bit:02000] loss=0.165639 tau=1.50 collapse_w=0.000 mid_frac=0.286 hard=score=420.3918721615 wNMSE=0.70420445 wMSE=45365.0603 wMRED=5.16837953 wER=0.297204 wMAE=81.2006 wBias=-81.1804 condBias=151.1090 dotDrift=-24.393sigma uMRED=0.1989543873 uER=0.364258 uMAE=85.5000 WCE=704 bias=-85.1250
[quad_warmup_bit:02200] loss=0.160243 tau=1.50 collapse_w=0.000 mid_frac=0.259 hard=score=411.6985901419 wNMSE=0.70185284 wMSE=45213.5691 wMRED=5.14046443 wER=0.275418 wMAE=80.3550 wBias=-80.3347 condBias=149.4274 dotDrift=-24.180sigma uMRED=0.1970298474 uER=0.356445 uMAE=84.5000 WCE=704 bias=-84.1250
