[design] balanced_split quad4 entries=112
[device] cuda
[initial] score=68.2095026900 wNMSE=0.5454421 wMSE=101616.5422 wMRED=8.73204565 wER=0.437141 wMAE=151.4664 wBias=55.3242 condBias=164.0901 dotDrift=+11.107sigma uMRED=0.3131401727 uER=0.437500 uMAE=104.2031 WCE=956 bias=53.8750
[quad_warmup_bit:00000] loss=0.976179 tau=1.50 collapse_w=0.000 mid_frac=0.500 hard=score=68.2095026900 wNMSE=0.5454421 wMSE=101616.5422 wMRED=8.73204565 wER=0.437141 wMAE=151.4664 wBias=55.3242 condBias=164.0901 dotDrift=+11.107sigma uMRED=0.3131401727 uER=0.437500 uMAE=104.2031 WCE=956 bias=53.8750
[quad_warmup_bit:00025] loss=0.813003 tau=1.50 collapse_w=0.000 mid_frac=0.491 hard=score=55.3878667350 wNMSE=0.53330871 wMSE=99356.0757 wMRED=8.62064044 wER=0.437141 wMAE=147.8105 wBias=49.7868 condBias=161.9412 dotDrift=+10.109sigma uMRED=0.3043538324 uER=0.437500 uMAE=99.7578 WCE=956 bias=47.2500 *BEST*
[quad_warmup_bit:00050] loss=0.676058 tau=1.50 collapse_w=0.000 mid_frac=0.500 hard=score=54.8044315057 wNMSE=0.53269537 wMSE=99241.8094 wMRED=8.60871309 wER=0.437141 wMAE=147.5565 wBias=49.5202 condBias=161.6793 dotDrift=+10.060sigma uMRED=0.3038507513 uER=0.437500 uMAE=99.5391 WCE=956 bias=47.0000 *BEST*
[quad_warmup_bit:00075] loss=0.565093 tau=1.50 collapse_w=0.000 mid_frac=0.491 hard=score=53.1126822685 wNMSE=0.5294861 wMSE=98643.9194 wMRED=8.60113806 wER=0.437141 wMAE=147.3657 wBias=48.7397 condBias=161.1634 dotDrift=+9.932sigma uMRED=0.3034670380 uER=0.437500 uMAE=99.4629 WCE=956 bias=46.0000 *BEST*
[quad_warmup_bit:00100] loss=0.477082 tau=1.50 collapse_w=0.000 mid_frac=0.464 hard=score=49.1600403207 wNMSE=0.52894461 wMSE=98543.0386 wMRED=8.59509518 wER=0.437141 wMAE=146.0693 wBias=46.8579 condBias=161.9428 dotDrift=+9.553sigma uMRED=0.3006433834 uER=0.437500 uMAE=97.2129 WCE=956 bias=43.5000 *BEST*
[quad_warmup_bit:00125] loss=0.408624 tau=1.50 collapse_w=0.000 mid_frac=0.438 hard=score=36.4603898048 wNMSE=0.56278992 wMSE=104848.4630 wMRED=8.93105227 wER=0.437141 wMAE=149.6123 wBias=40.1982 condBias=166.3258 dotDrift=+7.945sigma uMRED=0.3083221084 uER=0.437500 uMAE=97.6113 WCE=956 bias=39.1250 *BEST*
[quad_warmup_bit:00150] loss=0.356612 tau=1.50 collapse_w=0.000 mid_frac=0.411 hard=score=21.0429694896 wNMSE=0.58510586 wMSE=109005.9503 wMRED=9.46277296 wER=0.437141 wMAE=156.5115 wBias=30.1908 condBias=176.6886 dotDrift=+5.852sigma uMRED=0.3230337767 uER=0.437500 uMAE=99.9316 WCE=956 bias=34.2500 *BEST*
[quad_warmup_bit:00175] loss=0.317763 tau=1.50 collapse_w=0.000 mid_frac=0.384 hard=score=14.7432282710 wNMSE=0.26800361 wMSE=49929.4051 wMRED=6.34612152 wER=0.436414 wMAE=101.9437 wBias=-25.4561 condBias=122.8375 dotDrift=-7.291sigma uMRED=0.2176999012 uER=0.434570 uMAE=66.7031 WCE=848 bias=-3.6875 *BEST*
[quad_warmup_bit:00200] loss=0.289142 tau=1.50 collapse_w=0.000 mid_frac=0.384 hard=score=14.7432282710 wNMSE=0.26800361 wMSE=49929.4051 wMRED=6.34612152 wER=0.436414 wMAE=101.9437 wBias=-25.4561 condBias=122.8375 dotDrift=-7.291sigma uMRED=0.2176999012 uER=0.434570 uMAE=66.7031 WCE=848 bias=-3.6875
[quad_warmup_bit:00400] loss=0.217551 tau=1.50 collapse_w=0.000 mid_frac=0.366 hard=score=44.3693543836 wNMSE=0.27045887 wMSE=50386.8233 wMRED=6.20151043 wER=0.387479 wMAE=99.1832 wBias=-44.6649 condBias=125.7524 dotDrift=-12.735sigma uMRED=0.2171578770 uER=0.405273 uMAE=68.1406 WCE=904 bias=-18.7500
[quad_warmup_bit:00600] loss=0.199245 tau=1.50 collapse_w=0.000 mid_frac=0.402 hard=score=39.1871398340 wNMSE=0.26147148 wMSE=48712.4616 wMRED=5.92910301 wER=0.365923 wMAE=96.3604 wBias=-41.9566 condBias=119.0238 dotDrift=-12.166sigma uMRED=0.2175843616 uER=0.381836 uMAE=74.1953 WCE=848 bias=-25.1250
