[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.0016111764 wNMSE=0.00012742207 wMSE=9.7071 wMRED=0.02810209 wER=0.088891 wMAE=0.7864 wBias=-0.0872 condBias=1.5569 dotDrift=-1.790sigma uMRED=0.0019195893 uER=0.109375 uMAE=1.1250 WCE=16 bias=0.0000
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=2.207184 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0016111764 wNMSE=0.00012742207 wMSE=9.7071 wMRED=0.02810209 wER=0.088891 wMAE=0.7864 wBias=-0.0872 condBias=1.5569 dotDrift=-1.790sigma uMRED=0.0019195893 uER=0.109375 uMAE=1.1250 WCE=16 bias=0.0000
[quad_warmup_bit:00200] loss=0.217370 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.0685666488 wNMSE=0.0057410808 wMSE=437.3576 wMRED=0.42794928 wER=0.149546 wMAE=7.1389 wBias=4.3526 condBias=10.4486 dotDrift=+13.320sigma uMRED=0.0189892873 uER=0.195312 uMAE=10.5000 WCE=112 bias=-6.1250
[quad_warmup_bit:00400] loss=0.074620 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:00600] loss=0.065341 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:00800] loss=0.064613 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:01000] loss=0.063731 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:01200] loss=0.062399 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:01400] loss=0.061272 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:01600] loss=0.058861 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:01800] loss=0.056956 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.1434523156 wNMSE=0.0055219465 wMSE=420.6639 wMRED=0.42709107 wER=0.148579 wMAE=6.9805 wBias=4.5110 condBias=10.2474 dotDrift=+14.076sigma uMRED=0.0159349759 uER=0.175781 uMAE=7.5000 WCE=80 bias=-3.1250
[quad_warmup_bit:02000] loss=0.055869 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=1.2209179432 wNMSE=0.005641809 wMSE=429.7950 wMRED=0.42755911 wER=0.148579 wMAE=6.9966 wBias=4.6651 condBias=10.3581 dotDrift=+14.401sigma uMRED=0.0159476513 uER=0.175781 uMAE=7.5000 WCE=80 bias=-2.8750
