[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.9570802357 wNMSE=0.013169397 wMSE=1003.2494 wMRED=0.35562797 wER=0.194815 wMAE=10.3494 wBias=4.0080 condBias=15.8259 dotDrift=+8.099sigma uMRED=0.0309455822 uER=0.242188 uMAE=20.1562 WCE=170 bias=1.6250
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=2.023417 tau=1.50 collapse_w=0.000 mid_frac=0.458 hard=score=0.9570802357 wNMSE=0.013169397 wMSE=1003.2494 wMRED=0.35562797 wER=0.194815 wMAE=10.3494 wBias=4.0080 condBias=15.8259 dotDrift=+8.099sigma uMRED=0.0309455822 uER=0.242188 uMAE=20.1562 WCE=170 bias=1.6250
[quad_warmup_bit:00200] loss=0.762919 tau=1.50 collapse_w=0.000 mid_frac=0.479 hard=score=0.2271825498 wNMSE=0.0038273482 wMSE=291.5687 wMRED=0.29105354 wER=0.194815 wMAE=6.2906 wBias=1.9206 condBias=8.5322 dotDrift=+7.199sigma uMRED=0.0179348699 uER=0.242188 uMAE=10.9062 WCE=90 bias=-3.7500
[quad_warmup_bit:00400] loss=0.282485 tau=1.50 collapse_w=0.000 mid_frac=0.458 hard=score=0.2906220048 wNMSE=0.0033624314 wMSE=256.1512 wMRED=0.28151814 wER=0.175954 wMAE=5.8678 wBias=2.2164 condBias=7.9970 dotDrift=+8.863sigma uMRED=0.0162809071 uER=0.234375 uMAE=9.6562 WCE=74 bias=-3.7500
[quad_warmup_bit:00600] loss=0.126556 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=1.1341182321 wNMSE=0.0045836492 wMSE=349.1840 wMRED=0.34395358 wER=0.175954 wMAE=6.8340 wBias=4.5053 condBias=9.3369 dotDrift=+15.430sigma uMRED=0.0185892087 uER=0.234375 uMAE=10.6875 WCE=80 bias=0.3750
[quad_warmup_bit:00800] loss=0.083070 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=1.1914446022 wNMSE=0.0046868898 wMSE=357.0489 wMRED=0.34798822 wER=0.175954 wMAE=6.9164 wBias=4.6197 condBias=9.4415 dotDrift=+15.647sigma uMRED=0.0186722965 uER=0.234375 uMAE=10.6875 WCE=80 bias=0.5000
[quad_warmup_bit:01000] loss=0.075576 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=2.0082490924 wNMSE=0.0068045294 wMSE=518.3715 wMRED=0.44833427 wER=0.175954 wMAE=8.3073 wBias=6.0106 condBias=12.0320 dotDrift=+16.896sigma uMRED=0.0209577902 uER=0.234375 uMAE=11.1875 WCE=80 bias=1.0000
[quad_warmup_bit:01200] loss=0.074159 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=2.0082490924 wNMSE=0.0068045294 wMSE=518.3715 wMRED=0.44833427 wER=0.175954 wMAE=8.3073 wBias=6.0106 condBias=12.0320 dotDrift=+16.896sigma uMRED=0.0209577902 uER=0.234375 uMAE=11.1875 WCE=80 bias=1.0000
[quad_warmup_bit:01400] loss=0.069094 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=2.0082490924 wNMSE=0.0068045294 wMSE=518.3715 wMRED=0.44833427 wER=0.175954 wMAE=8.3073 wBias=6.0106 condBias=12.0320 dotDrift=+16.896sigma uMRED=0.0209577902 uER=0.234375 uMAE=11.1875 WCE=80 bias=1.0000
[quad_warmup_bit:01600] loss=0.065833 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0161077292 wNMSE=0.0017789184 wMSE=135.5186 wMRED=0.04844928 wER=0.122279 wMAE=2.7987 wBias=0.2861 condBias=5.8173 dotDrift=+1.573sigma uMRED=0.0119848154 uER=0.218750 uMAE=9.3125 WCE=80 bias=-1.2500
[quad_warmup_bit:01800] loss=0.062504 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0161077292 wNMSE=0.0017789184 wMSE=135.5186 wMRED=0.04844928 wER=0.122279 wMAE=2.7987 wBias=0.2861 condBias=5.8173 dotDrift=+1.573sigma uMRED=0.0119848154 uER=0.218750 uMAE=9.3125 WCE=80 bias=-1.2500
[quad_warmup_bit:02000] loss=0.060282 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=0.0161077292 wNMSE=0.0017789184 wMSE=135.5186 wMRED=0.04844928 wER=0.122279 wMAE=2.7987 wBias=0.2861 condBias=5.8173 dotDrift=+1.573sigma uMRED=0.0119848154 uER=0.218750 uMAE=9.3125 WCE=80 bias=-1.2500
