[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.3351065546 wNMSE=0.0031435239 wMSE=239.4748 wMRED=0.26551016 wER=0.215477 wMAE=5.7772 wBias=2.3997 condBias=7.7322 dotDrift=+9.925sigma uMRED=0.0145236903 uER=0.242188 uMAE=8.0312 WCE=75 bias=-2.5625
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=1.901502 tau=1.50 collapse_w=0.000 mid_frac=0.438 hard=score=0.3351065546 wNMSE=0.0031435239 wMSE=239.4748 wMRED=0.26551016 wER=0.215477 wMAE=5.7772 wBias=2.3997 condBias=7.7322 dotDrift=+9.925sigma uMRED=0.0145236903 uER=0.242188 uMAE=8.0312 WCE=75 bias=-2.5625
[quad_warmup_bit:00200] loss=0.662497 tau=1.50 collapse_w=0.000 mid_frac=0.417 hard=score=0.1372164248 wNMSE=0.0021398383 wMSE=163.0136 wMRED=0.25204996 wER=0.194815 wMAE=4.9470 wBias=1.4935 condBias=6.3795 dotDrift=+7.487sigma uMRED=0.0132664951 uER=0.242188 uMAE=7.5781 WCE=64 bias=-5.2500
[quad_warmup_bit:00400] loss=0.283868 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=0.1068592194 wNMSE=0.002145326 wMSE=163.4317 wMRED=0.24637839 wER=0.194815 wMAE=4.9821 wBias=1.2930 condBias=6.3876 dotDrift=+6.473sigma uMRED=0.0138517954 uER=0.242188 uMAE=8.1562 WCE=56 bias=-5.8750
[quad_warmup_bit:00600] loss=0.149937 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=0.0757477351 wNMSE=0.0021364985 wMSE=162.7592 wMRED=0.23662107 wER=0.178490 wMAE=4.8601 wBias=1.0498 condBias=6.3745 dotDrift=+5.266sigma uMRED=0.0133598967 uER=0.238281 uMAE=7.8125 WCE=56 bias=-5.6250
[quad_warmup_bit:00800] loss=0.098299 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=0.0757477351 wNMSE=0.0021364985 wMSE=162.7592 wMRED=0.23662107 wER=0.178490 wMAE=4.8601 wBias=1.0498 condBias=6.3745 dotDrift=+5.266sigma uMRED=0.0133598967 uER=0.238281 uMAE=7.8125 WCE=56 bias=-5.6250
[quad_warmup_bit:01000] loss=0.087166 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0757477351 wNMSE=0.0021364985 wMSE=162.7592 wMRED=0.23662107 wER=0.178490 wMAE=4.8601 wBias=1.0498 condBias=6.3745 dotDrift=+5.266sigma uMRED=0.0133598967 uER=0.238281 uMAE=7.8125 WCE=56 bias=-5.6250
[quad_warmup_bit:01200] loss=0.078179 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0998117692 wNMSE=0.0020757327 wMSE=158.1301 wMRED=0.23098362 wER=0.159629 wMAE=4.6634 wBias=1.2465 condBias=6.2832 dotDrift=+6.344sigma uMRED=0.0129304758 uER=0.230469 uMAE=7.5625 WCE=56 bias=-5.3750
[quad_warmup_bit:01400] loss=0.074162 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0998117692 wNMSE=0.0020757327 wMSE=158.1301 wMRED=0.23098362 wER=0.159629 wMAE=4.6634 wBias=1.2465 condBias=6.2832 dotDrift=+6.344sigma uMRED=0.0129304758 uER=0.230469 uMAE=7.5625 WCE=56 bias=-5.3750
[quad_warmup_bit:01600] loss=0.071298 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1222660856 wNMSE=0.0021275631 wMSE=162.0785 wMRED=0.23139095 wER=0.159629 wMAE=4.6698 wBias=1.4005 condBias=6.3612 dotDrift=+7.040sigma uMRED=0.0128101807 uER=0.230469 uMAE=7.4375 WCE=56 bias=-5.1250
[quad_warmup_bit:01800] loss=0.069443 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.1222660856 wNMSE=0.0021275631 wMSE=162.0785 wMRED=0.23139095 wER=0.159629 wMAE=4.6698 wBias=1.4005 condBias=6.3612 dotDrift=+7.040sigma uMRED=0.0128101807 uER=0.230469 uMAE=7.4375 WCE=56 bias=-5.1250
[quad_warmup_bit:02000] loss=0.067611 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1222660856 wNMSE=0.0021275631 wMSE=162.0785 wMRED=0.23139095 wER=0.159629 wMAE=4.6698 wBias=1.4005 condBias=6.3612 dotDrift=+7.040sigma uMRED=0.0128101807 uER=0.230469 uMAE=7.4375 WCE=56 bias=-5.1250
[quad_warmup_bit:02200] loss=0.064846 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1135368716 wNMSE=0.002213335 wMSE=168.6126 wMRED=0.23186008 wER=0.159629 wMAE=4.7321 wBias=1.3382 condBias=6.4883 dotDrift=+6.596sigma uMRED=0.0133742396 uER=0.230469 uMAE=7.9375 WCE=64 bias=-5.6250
[quad_warmup_bit:02400] loss=0.063238 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1080524221 wNMSE=0.0021629158 wMSE=164.7717 wMRED=0.23407630 wER=0.159629 wMAE=4.7684 wBias=1.3019 condBias=6.4138 dotDrift=+6.491sigma uMRED=0.0126349926 uER=0.230469 uMAE=7.1875 WCE=64 bias=-4.8750
[quad_warmup_bit:02600] loss=0.062767 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:02800] loss=0.062212 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03000] loss=0.062093 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03200] loss=0.060914 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03400] loss=0.060345 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03600] loss=0.059756 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03800] loss=0.059282 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:04000] loss=0.058782 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:04200] loss=0.057970 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=1.0689140175 wNMSE=0.0057234259 wMSE=436.0126 wMRED=0.43294306 wER=0.156096 wMAE=7.3179 wBias=4.3534 condBias=10.4328 dotDrift=+13.343sigma uMRED=0.0152162651 uER=0.207031 uMAE=6.4375 WCE=80 bias=-1.3750
