[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=4.8685537428 wNMSE=0.028670176 wMSE=2184.1042 wMRED=0.87558118 wER=0.216412 wMAE=17.2492 wBias=-9.2876 condBias=23.3494 dotDrift=-12.719sigma uMRED=0.0444405825 uER=0.246094 uMAE=24.5000 WCE=180 bias=1.2500
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=3.129190 tau=1.50 collapse_w=0.000 mid_frac=0.562 hard=score=4.9931569402 wNMSE=0.028363854 wMSE=2160.7685 wMRED=0.87464291 wER=0.216412 wMAE=17.1246 wBias=-9.4122 condBias=23.2242 dotDrift=-12.959sigma uMRED=0.0433124647 uER=0.246094 uMAE=23.5000 WCE=180 bias=0.2500
[quad_warmup_bit:00200] loss=0.920397 tau=1.50 collapse_w=0.000 mid_frac=0.500 hard=score=0.0591267905 wNMSE=0.006671549 wMSE=508.2410 wMRED=0.26917904 wER=0.199768 wMAE=7.0229 wBias=0.5256 condBias=11.2657 dotDrift=+1.492sigma uMRED=0.0215111974 uER=0.238281 uMAE=13.9531 WCE=144 bias=-8.7500
[quad_warmup_bit:00400] loss=0.289984 tau=1.50 collapse_w=0.000 mid_frac=0.417 hard=score=1.0558356661 wNMSE=0.0060457978 wMSE=460.5710 wMRED=0.42804989 wER=0.174531 wMAE=7.2418 wBias=4.3215 condBias=10.7229 dotDrift=+12.888sigma uMRED=0.0191620280 uER=0.218750 uMAE=10.5000 WCE=116 bias=-5.5000
[quad_warmup_bit:00600] loss=0.091825 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.9460285052 wNMSE=0.0062969735 wMSE=479.7057 wMRED=0.42795529 wER=0.151802 wMAE=7.3962 wBias=4.0774 condBias=10.9434 dotDrift=+11.914sigma uMRED=0.0223447126 uER=0.210938 uMAE=13.5625 WCE=112 bias=-9.3750
[quad_warmup_bit:00800] loss=0.078808 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=0.9460285052 wNMSE=0.0062969735 wMSE=479.7057 wMRED=0.42795529 wER=0.151802 wMAE=7.3962 wBias=4.0774 condBias=10.9434 dotDrift=+11.914sigma uMRED=0.0223447126 uER=0.210938 uMAE=13.5625 WCE=112 bias=-9.3750
[quad_warmup_bit:01000] loss=0.071045 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.8766115365 wNMSE=0.0063557904 wMSE=484.1864 wMRED=0.43110978 wER=0.151802 wMAE=7.5570 wBias=3.9165 condBias=10.9944 dotDrift=+11.391sigma uMRED=0.0227335834 uER=0.210938 uMAE=13.8125 WCE=112 bias=-9.6250
[quad_warmup_bit:01200] loss=0.068611 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.8766115365 wNMSE=0.0063557904 wMSE=484.1864 wMRED=0.43110978 wER=0.151802 wMAE=7.5570 wBias=3.9165 condBias=10.9944 dotDrift=+11.391sigma uMRED=0.0227335834 uER=0.210938 uMAE=13.8125 WCE=112 bias=-9.6250
[quad_warmup_bit:01400] loss=0.066948 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.8766115365 wNMSE=0.0063557904 wMSE=484.1864 wMRED=0.43110978 wER=0.151802 wMAE=7.5570 wBias=3.9165 condBias=10.9944 dotDrift=+11.391sigma uMRED=0.0227335834 uER=0.210938 uMAE=13.8125 WCE=112 bias=-9.6250
[quad_warmup_bit:01600] loss=0.066164 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.8766115365 wNMSE=0.0063557904 wMSE=484.1864 wMRED=0.43110978 wER=0.151802 wMAE=7.5570 wBias=3.9165 condBias=10.9944 dotDrift=+11.391sigma uMRED=0.0227335834 uER=0.210938 uMAE=13.8125 WCE=112 bias=-9.6250
[quad_warmup_bit:01800] loss=0.065046 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.8766115365 wNMSE=0.0063557904 wMSE=484.1864 wMRED=0.43110978 wER=0.151802 wMAE=7.5570 wBias=3.9165 condBias=10.9944 dotDrift=+11.391sigma uMRED=0.0227335834 uER=0.210938 uMAE=13.8125 WCE=112 bias=-9.6250
[quad_warmup_bit:02000] loss=0.064170 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.9440463721 wNMSE=0.0064613462 wMSE=492.2277 wMRED=0.43151711 wER=0.151802 wMAE=7.5634 wBias=4.0705 condBias=11.0854 dotDrift=+11.742sigma uMRED=0.0226132882 uER=0.210938 uMAE=13.6875 WCE=112 bias=-9.3750
