a,b,p_calib
-127,-127,5.5920808683717312e-08
-127,-125,4.3422749464447141e-09
-127,-124,1.7324220752415279e-10
-127,-123,3.9600612693681967e-09
-127,-122,1.3042817190652165e-08
-127,-121,1.7102038794664051e-09
-127,-120,7.6066653015260094e-10
-127,-119,2.1978831545556538e-09
-127,-118,1.2188900735306904e-09
-127,-117,2.9183956654346967e-10
-127,-116,3.0899154363926881e-09
-127,-115,1.4630852316388754e-09
-127,-114,1.2109445609138249e-08
-127,-113,4.42468492664154e-12
-127,-112,3.5310880467150047e-09
-127,-111,2.5768732027027169e-09
-127,-110,2.8101488549083754e-10
-127,-109,1.4569775394775964e-08
-127,-108,5.2521009772239522e-10
-127,-107,5.871098565254477e-09
-127,-106,1.0216486202322195e-08
-127,-105,6.7588955920771443e-09
-127,-104,3.4149084638493358e-09
-127,-103,1.8552702997949496e-09
-127,-102,3.0135106386266004e-09
-127,-101,1.7340528768890404e-08
-127,-100,8.6468613825039258e-09
-127,-99,1.026225059956805e-08
-127,-98,2.30910068561763e-09
-127,-97,5.3514666115956338e-09
-127,-96,2.2545507088686712e-09
-127,-95,2.4774221443576948e-08
-127,-94,4.0464879383685798e-08
-127,-93,1.5496147441417955e-08
-127,-92,1.7397544551094176e-09
-127,-91,2.6501396116962314e-08
-127,-90,2.4972115058561297e-08
-127,-89,1.9411250309287239e-08
-127,-88,6.0103019689730831e-09
-127,-87,4.5644464204121001e-08
-127,-86,1.0452638160028451e-08
-127,-85,1.860278101661174e-08
-127,-84,1.3366482595619474e-08
-127,-83,7.1212772827257428e-09
-127,-82,1.8706271121316882e-08
-127,-81,1.8754327100221298e-08
-127,-80,1.9168872589471556e-08
-127,-79,2.1769416947747459e-08
-127,-78,2.1459546817805972e-08
-127,-77,2.9929847593429481e-08
-127,-76,2.047058301480666e-08
-127,-75,2.4934394717398571e-08
-127,-74,2.2025116588658984e-08
-127,-73,5.8641531136305253e-08
-127,-72,3.5804991569999806e-08
-127,-71,2.4745081556906359e-08
-127,-70,4.24352879338936e-08
-127,-69,5.3299138649309501e-08
-127,-68,3.9451484062905235e-08
-127,-67,3.2830402419519192e-08
-127,-66,6.0877277123015662e-08
-127,-65,6.0395683693302484e-08
-127,-64,6.3050177031333528e-08
-127,-63,3.6799044459113309e-08
-127,-62,9.0691781609676e-08
-127,-61,7.6534895802033984e-08
-127,-60,7.022192715395899e-08
-127,-59,7.548962490693007e-08
-127,-58,8.9636768815928762e-08
-127,-57,8.4142127629819472e-08
-127,-56,9.2561041374360366e-08
-127,-55,9.9237022221922292e-08
-127,-54,8.6363495968822163e-08
-127,-53,9.201117917650956e-08
-127,-52,1.0830212253740022e-07
-127,-51,1.7503359554018294e-07
-127,-50,1.46780179571542e-07
-127,-49,1.0679629809641868e-07
-127,-48,1.4704706509981167e-07
-127,-47,1.7977311170024943e-07
-127,-46,1.5184090864821737e-07
-127,-45,1.7735448248583e-07
-127,-44,2.2413580694889067e-07
-127,-43,2.0492779255069686e-07
-127,-42,1.9422489157618107e-07
-127,-41,2.7577140872381677e-07
-127,-40,2.904892300028705e-07
-127,-39,2.7600474101854724e-07
-127,-38,3.1892079610380339e-07
-127,-37,3.0492378632371013e-07
-127,-36,1.9794712298942547e-07
-127,-35,2.7748451872237463e-07
-127,-34,3.7861894123776168e-07
-127,-33,4.0021460019075914e-07
-127,-32,3.9517362917410179e-07
-127,-31,4.6795478170299027e-07
-127,-30,4.6766995353097361e-07
-127,-29,6.0966997104594379e-07
-127,-28,6.3164820612705057e-07
-127,-27,4.8326488581020309e-07
-127,-26,6.7104183512627762e-07
-127,-25,7.2755181905518193e-07
-127,-24,7.0770087218959118e-07
-127,-23,7.3160102022518118e-07
-127,-22,8.9790692411488026e-07
-127,-21,9.6331153602639257e-07
-127,-20,9.8735863277668679e-07
-127,-19,9.6019961177324547e-07
-127,-18,9.8090122611030677e-07
-127,-17,1.3007725052414372e-06
-127,-16,1.3494775211142885e-06
-127,-15,1.3107518392165369e-06
-127,-14,1.5869874640021054e-06
-127,-13,1.6563812731440435e-06
-127,-12,1.8245710247933164e-06
-127,-11,1.9752808112185844e-06
-127,-10,2.2262778670014531e-06
-127,-9,2.3765802111837182e-06
-127,-8,2.4232400974903601e-06
-127,-7,2.8111993645629831e-06
-127,-6,2.9296982023897174e-06
-127,-5,3.3523767817361672e-06
-127,-4,3.3036570604896392e-06
-127,-3,3.6763679894898429e-06
-127,-2,3.7024342781984255e-06
-127,-1,3.7645639531348001e-06
-127,0,3.9765583120221691e-06
-127,1,4.0455997374906651e-06
-127,2,3.9586235767343247e-06
-127,3,3.5220143125161613e-06
-127,4,3.357062748521757e-06
-127,5,3.2140023468924842e-06
-127,6,3.3299316121239285e-06
-127,7,3.0453357926725515e-06
-127,8,2.9724520703933209e-06
-127,9,2.7973077311186076e-06
-127,10,2.8130988329027527e-06
-127,11,2.521452030727305e-06
-127,12,2.2626172849561992e-06
-127,13,2.2816369109887879e-06
-127,14,2.1020802604381389e-06
-127,15,2.0579909472550263e-06
-127,16,1.892157463312012e-06
-127,17,1.8050252389620475e-06
-127,18,1.8764730168873741e-06
-127,19,1.6609072995959505e-06
-127,20,1.5967280897351516e-06
-127,21,1.3765362106355061e-06
-127,22,1.4256917674432033e-06
-127,23,1.4179480112272473e-06
-127,24,1.3006066247829625e-06
-127,25,1.2302518151010871e-06
-127,26,1.1559823810910238e-06
-127,27,1.1048003961760119e-06
-127,28,1.1028312491960898e-06
-127,29,1.0696336523295151e-06
-127,30,1.0067726867997398e-06
-127,31,1.0731826996352114e-06
-127,32,9.1105410486671641e-07
-127,33,8.2515268268704636e-07
-127,34,9.3070815182663053e-07
-127,35,7.6218145227397528e-07
-127,36,7.4568772039317982e-07
-127,37,7.5943932007389918e-07
-127,38,6.9003901656978597e-07
-127,39,6.7413311384231961e-07
-127,40,7.3504248280257102e-07
-127,41,7.1444374087762868e-07
-127,42,5.8344737715185523e-07
-127,43,6.5373260195962923e-07
-127,44,4.9823247992303343e-07
-127,45,5.8338246767715131e-07
-127,46,4.55710135144814e-07
-127,47,5.2249863560382522e-07
-127,48,4.7496953952996458e-07
-127,49,4.7968481766480685e-07
-127,50,4.2518926929285895e-07
-127,51,4.2386099491989371e-07
-127,52,3.4934622611260992e-07
-127,53,3.9738072555003536e-07
-127,54,3.308760229527852e-07
-127,55,3.3966585725483921e-07
-127,56,3.6720751972117313e-07
-127,57,3.9160204917159798e-07
-127,58,3.0737794550858796e-07
-127,59,3.0751119215614472e-07
-127,60,2.4488648918456762e-07
-127,61,2.2909618109522267e-07
-127,62,2.6683490988956113e-07
-127,63,1.6158879256864556e-07
-127,64,1.8530892244572114e-07
-127,65,1.8858686429118171e-07
-127,66,1.6361756191015186e-07
-127,67,1.2283176119236553e-07
-127,68,1.4774720797979294e-07
-127,69,1.3393824119643495e-07
-127,70,1.537425917245982e-07
-127,71,1.4921670662987604e-07
-127,72,9.6982502445716713e-08
-127,73,1.3307306056560924e-07
-127,74,1.3679998938394799e-07
-127,75,1.057368527586513e-07
-127,76,1.4044104909774885e-07
-127,77,1.2353810142567641e-07
-127,78,5.9644229143058728e-08
-127,79,7.7928069551917411e-08
-127,80,9.68864054467576e-08
-127,81,7.4927044169357297e-08
-127,82,5.7474348689172926e-08
-127,83,6.2806663194263985e-08
-127,84,5.6551989795955731e-08
-127,85,3.8926670619171022e-08
-127,86,4.9611020209502859e-08
-127,87,4.0430856733344821e-08
-127,88,2.2305341476921669e-08
-127,89,4.2280344053846628e-08
-127,90,4.6109846542849597e-08
-127,91,4.5818417176503519e-08
-127,92,3.7142194276340937e-08
-127,93,4.1770905185027072e-08
-127,94,6.6699262155705267e-08
-127,95,1.5038239128547714e-08
-127,96,4.3008725672318227e-08
-127,97,4.90721863450597e-08
-127,98,5.3476883043060775e-08
-127,99,1.3200193835091438e-08
-127,100,3.0918939271563207e-08
-127,101,2.9145003608985503e-08
-127,102,1.5509104585340798e-08
-127,103,3.4653278309818952e-08
-127,104,7.8501174249868699e-09
-127,105,4.5268397414421169e-08
-127,106,1.760288096236949e-08
-127,107,4.5753720838415781e-08
-127,108,4.8996571629490194e-08
-127,109,5.4113896248685967e-09
-127,110,1.4946284825467953e-08
-127,111,1.6001114001365284e-08
-127,112,6.3964191431369969e-09
-127,113,1.2205145480511445e-08
-127,114,1.1892257216321499e-08
-127,115,2.1565993181814812e-08
-127,116,2.1407952045825062e-08
-127,117,2.5759961379457014e-08
-127,118,2.9787294620718577e-09
-127,119,1.4597762255526383e-08
-127,120,1.234139397182711e-09
-127,121,1.650701374127207e-08
-127,122,4.6065708914098095e-10
-127,123,6.1945584115755821e-12
-127,124,6.0986854212510586e-09
-127,125,1.31086976739575e-08
-127,126,1.8098620389929784e-08
-127,127,1.3300126696828447e-07
-126,-127,2.6260504886119764e-09
-126,-112,4.5018007107378992e-10
-126,-109,1.4630852316388754e-09
-126,-104,5.9086136031631191e-09
-126,-99,7.5030009995259949e-11
-126,-95,1.9911081684164356e-10
-126,-92,1.0129051605650855e-09
-126,-88,1.3985322771808338e-09
-126,-85,2.6548109559849237e-11
-126,-83,1.6881752259751125e-10
-126,-81,9.718820508591202e-09
-126,-80,6.1060651016208107e-10
-126,-79,7.5030009995259949e-11
-126,-77,1.0129051605650855e-09
-126,-73,1.9132653027126653e-09
-126,-72,2.0265056866873738e-10
-126,-71,3.7306887671133069e-09
-126,-69,2.0258103211301709e-09
-126,-68,1.6881752259751125e-10
-126,-66,2.0258103211301709e-09
-126,-65,3.0762304708679243e-09
-126,-63,2.8698979490402508e-09
