label	topology	sample	init	seed_or_conf	loss_mode
quality	quality	base_q080	baseline	conf=0.80,seed=1	legacy_aligned
quality	quality	base_q055	baseline	conf=0.55,seed=2	legacy_aligned
quality	quality	rand610	random_logits	seed=610	legacy_aligned
quality	quality	rand611	random_logits	seed=611	legacy_aligned
quality	quality	rand612	random_logits	seed=612	legacy_aligned
quality	quality	rand613	random_logits	seed=613	legacy_aligned
quality	quality	rand614	random_logits	seed=614	legacy_aligned
quality	quality	rand615	random_logits	seed=615	legacy_aligned
balanced	balanced_split	base_q080	baseline	conf=0.80,seed=1	legacy_aligned
balanced	balanced_split	base_q055	baseline	conf=0.55,seed=2	legacy_aligned
balanced	balanced_split	rand610	random_logits	seed=610	legacy_aligned
balanced	balanced_split	rand611	random_logits	seed=611	legacy_aligned
balanced	balanced_split	rand612	random_logits	seed=612	legacy_aligned
balanced	balanced_split	rand613	random_logits	seed=613	legacy_aligned
balanced	balanced_split	rand614	random_logits	seed=614	legacy_aligned
balanced	balanced_split	rand615	random_logits	seed=615	legacy_aligned
default	default_split	base_q080	baseline	conf=0.80,seed=1	legacy_aligned
default	default_split	base_q055	baseline	conf=0.55,seed=2	legacy_aligned
default	default_split	rand610	random_logits	seed=610	legacy_aligned
default	default_split	rand611	random_logits	seed=611	legacy_aligned
default	default_split	rand612	random_logits	seed=612	legacy_aligned
default	default_split	rand613	random_logits	seed=613	legacy_aligned
default	default_split	rand614	random_logits	seed=614	legacy_aligned
default	default_split	rand615	random_logits	seed=615	legacy_aligned
