[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.5976936295 wNMSE=0.0052331555 wMSE=398.6637 wMRED=0.20354682 wER=0.209567 wMAE=5.5490 wBias=-3.2204 condBias=9.9782 dotDrift=-10.323sigma uMRED=0.0229811919 uER=0.242188 uMAE=17.1016 WCE=160 bias=1.5000
[aligned-objective] schema=aligned_ai_metrics_v2 loss_mode=legacy_aligned guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=3.037328 tau=1.50 collapse_w=0.000 mid_frac=0.562 hard=score=0.7113462050 wNMSE=0.0051256893 wMSE=390.4768 wMRED=0.19970650 wER=0.209567 wMAE=5.3020 wBias=-3.5324 condBias=9.8753 dotDrift=-11.441sigma uMRED=0.0224270585 uER=0.242188 uMAE=16.7734 WCE=160 bias=1.0000
[quad_warmup_bit:00200] loss=1.403337 tau=1.50 collapse_w=0.000 mid_frac=0.479 hard=score=1.5739589044 wNMSE=0.0050597132 wMSE=385.4508 wMRED=0.17587381 wER=0.216412 wMAE=5.5704 wBias=-5.3270 condBias=10.6652 dotDrift=-17.365sigma uMRED=0.0194001416 uER=0.246094 uMAE=13.5625 WCE=133 bias=-9.1250
[quad_warmup_bit:00400] loss=0.346237 tau=1.50 collapse_w=0.000 mid_frac=0.417 hard=score=0.4518028521 wNMSE=0.0042296224 wMSE=322.2141 wMRED=0.34527468 wER=0.194815 wMAE=6.6111 wBias=2.7875 condBias=8.9696 dotDrift=+9.939sigma uMRED=0.0191928434 uER=0.242188 uMAE=11.5000 WCE=132 bias=-2.3750
[quad_warmup_bit:00600] loss=0.137683 tau=1.50 collapse_w=0.000 mid_frac=0.396 hard=score=0.5384295282 wNMSE=0.0041113699 wMSE=313.2056 wMRED=0.34644341 wER=0.194815 wMAE=6.5662 wBias=3.0625 condBias=8.8431 dotDrift=+11.075sigma uMRED=0.0186491718 uER=0.242188 uMAE=11.0000 WCE=112 bias=-1.6250
[quad_warmup_bit:00800] loss=0.091645 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=0.6265928815 wNMSE=0.0037964344 wMSE=289.2137 wMRED=0.33802334 wER=0.178490 wMAE=6.3328 wBias=3.3227 condBias=8.4973 dotDrift=+12.504sigma uMRED=0.0173877694 uER=0.238281 uMAE=10.0000 WCE=80 bias=-0.5000
[quad_warmup_bit:01000] loss=0.074801 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.6171572915 wNMSE=0.0038730494 wMSE=295.0503 wMRED=0.33356657 wER=0.159629 wMAE=6.2573 wBias=3.2954 condBias=8.5826 dotDrift=+12.278sigma uMRED=0.0181083208 uER=0.230469 uMAE=10.8125 WCE=80 bias=-4.2500
[quad_warmup_bit:01200] loss=0.066598 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.2885112353 wNMSE=0.0012451144 wMSE=94.8533 wMRED=0.11836938 wER=0.159629 wMAE=3.1292 wBias=-2.2683 condBias=4.8669 dotDrift=-14.906sigma uMRED=0.0129945261 uER=0.230469 uMAE=9.6250 WCE=80 bias=-6.2500
[quad_warmup_bit:01400] loss=0.064833 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0486369371 wNMSE=0.0010257046 wMSE=78.1385 wMRED=0.03252841 wER=0.105954 wMAE=2.0846 wBias=-0.8774 condBias=4.4175 dotDrift=-6.352sigma uMRED=0.0112518399 uER=0.214844 uMAE=9.3125 WCE=80 bias=-5.7500
[quad_warmup_bit:01600] loss=0.058952 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0486369371 wNMSE=0.0010257046 wMSE=78.1385 wMRED=0.03252841 wER=0.105954 wMAE=2.0846 wBias=-0.8774 condBias=4.4175 dotDrift=-6.352sigma uMRED=0.0112518399 uER=0.214844 uMAE=9.3125 WCE=80 bias=-5.7500
[quad_warmup_bit:01800] loss=0.057114 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0486369371 wNMSE=0.0010257046 wMSE=78.1385 wMRED=0.03252841 wER=0.105954 wMAE=2.0846 wBias=-0.8774 condBias=4.4175 dotDrift=-6.352sigma uMRED=0.0112518399 uER=0.214844 uMAE=9.3125 WCE=80 bias=-5.7500
[quad_warmup_bit:02000] loss=0.054255 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0486369371 wNMSE=0.0010257046 wMSE=78.1385 wMRED=0.03252841 wER=0.105954 wMAE=2.0846 wBias=-0.8774 condBias=4.4175 dotDrift=-6.352sigma uMRED=0.0112518399 uER=0.214844 uMAE=9.3125 WCE=80 bias=-5.7500
[quad_warmup_bit:02200] loss=0.052966 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=0.0351028190 wNMSE=0.001000609 wMSE=76.2267 wMRED=0.03293574 wER=0.105954 wMAE=2.0910 wBias=-0.7234 condBias=4.3632 dotDrift=-5.303sigma uMRED=0.0111315447 uER=0.214844 uMAE=9.1875 WCE=80 bias=-5.5000
[quad_warmup_bit:02400] loss=0.052203 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0351028190 wNMSE=0.001000609 wMSE=76.2267 wMRED=0.03293574 wER=0.105954 wMAE=2.0910 wBias=-0.7234 condBias=4.3632 dotDrift=-5.303sigma uMRED=0.0111315447 uER=0.214844 uMAE=9.1875 WCE=80 bias=-5.5000
[quad_warmup_bit:02600] loss=0.051346 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0351028190 wNMSE=0.001000609 wMSE=76.2267 wMRED=0.03293574 wER=0.105954 wMAE=2.0910 wBias=-0.7234 condBias=4.3632 dotDrift=-5.303sigma uMRED=0.0111315447 uER=0.214844 uMAE=9.1875 WCE=80 bias=-5.5000
[quad_warmup_bit:02800] loss=0.050226 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0351028190 wNMSE=0.001000609 wMSE=76.2267 wMRED=0.03293574 wER=0.105954 wMAE=2.0910 wBias=-0.7234 condBias=4.3632 dotDrift=-5.303sigma uMRED=0.0111315447 uER=0.214844 uMAE=9.1875 WCE=80 bias=-5.5000
[quad_warmup_bit:03000] loss=0.049984 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.0351028190 wNMSE=0.001000609 wMSE=76.2267 wMRED=0.03293574 wER=0.105954 wMAE=2.0910 wBias=-0.7234 condBias=4.3632 dotDrift=-5.303sigma uMRED=0.0111315447 uER=0.214844 uMAE=9.1875 WCE=80 bias=-5.5000
[quad_warmup_bit:03200] loss=0.050021 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0891436253 wNMSE=0.00089122714 wMSE=67.8940 wMRED=0.03008835 wER=0.098127 wMAE=1.8306 wBias=-1.2377 condBias=4.1179 dotDrift=-9.614sigma uMRED=0.0101776802 uER=0.195312 uMAE=8.5000 WCE=80 bias=-6.5000
[quad_warmup_bit:03400] loss=0.049412 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0891436253 wNMSE=0.00089122714 wMSE=67.8940 wMRED=0.03008835 wER=0.098127 wMAE=1.8306 wBias=-1.2377 condBias=4.1179 dotDrift=-9.614sigma uMRED=0.0101776802 uER=0.195312 uMAE=8.5000 WCE=80 bias=-6.5000
[quad_warmup_bit:03600] loss=0.048625 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0891436253 wNMSE=0.00089122714 wMSE=67.8940 wMRED=0.03008835 wER=0.098127 wMAE=1.8306 wBias=-1.2377 condBias=4.1179 dotDrift=-9.614sigma uMRED=0.0101776802 uER=0.195312 uMAE=8.5000 WCE=80 bias=-6.5000
[quad_warmup_bit:03800] loss=0.047983 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0891436253 wNMSE=0.00089122714 wMSE=67.8940 wMRED=0.03008835 wER=0.098127 wMAE=1.8306 wBias=-1.2377 condBias=4.1179 dotDrift=-9.614sigma uMRED=0.0101776802 uER=0.195312 uMAE=8.5000 WCE=80 bias=-6.5000
[quad_warmup_bit:04000] loss=0.047189 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:04200] loss=0.046484 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:04400] loss=0.046508 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:04600] loss=0.045983 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:04800] loss=0.045138 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:05000] loss=0.044258 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:05200] loss=0.043955 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:05400] loss=0.043610 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:05600] loss=0.043322 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.1085995157 wNMSE=0.0011936106 wMSE=90.9297 wMRED=0.03102662 wER=0.098127 wMAE=1.9551 wBias=-1.3623 condBias=4.7660 dotDrift=-9.143sigma uMRED=0.0113057980 uER=0.195312 uMAE=9.5000 WCE=112 bias=-7.5000
[quad_warmup_bit:05800] loss=0.043072 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.0668410826 wNMSE=0.0010585691 wMSE=80.6422 wMRED=0.02646745 wER=0.090050 wMAE=1.6432 wBias=-1.0504 condBias=4.4886 dotDrift=-7.486sigma uMRED=0.0105127917 uER=0.187500 uMAE=9.0000 WCE=112 bias=-7.0000
[quad_warmup_bit:05999] loss=0.042853 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.0668410826 wNMSE=0.0010585691 wMSE=80.6422 wMRED=0.02646745 wER=0.090050 wMAE=1.6432 wBias=-1.0504 condBias=4.4886 dotDrift=-7.486sigma uMRED=0.0105127917 uER=0.187500 uMAE=9.0000 WCE=112 bias=-7.0000
[quad_soft:00000] loss=0.047889 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=0.0668410826 wNMSE=0.0010585691 wMSE=80.6422 wMRED=0.02646745 wER=0.090050 wMAE=1.6432 wBias=-1.0504 condBias=4.4886 dotDrift=-7.486sigma uMRED=0.0105127917 uER=0.187500 uMAE=9.0000 WCE=112 bias=-7.0000
[quad_soft:00200] loss=0.046496 tau=1.59 collapse_w=0.000 mid_frac=0.250 hard=score=0.0668410826 wNMSE=0.0010585691 wMSE=80.6422 wMRED=0.02646745 wER=0.090050 wMAE=1.6432 wBias=-1.0504 condBias=4.4886 dotDrift=-7.486sigma uMRED=0.0105127917 uER=0.187500 uMAE=9.0000 WCE=112 bias=-7.0000
[quad_soft:00400] loss=0.047483 tau=1.68 collapse_w=0.000 mid_frac=0.208 hard=score=0.0491927634 wNMSE=0.0011069225 wMSE=84.3258 wMRED=0.02324881 wER=0.090050 wMAE=1.4803 wBias=-0.8795 condBias=4.5903 dotDrift=-6.130sigma uMRED=0.0102407945 uER=0.187500 uMAE=8.8750 WCE=128 bias=-6.7500
[quad_soft:00600] loss=0.048350 tau=1.77 collapse_w=0.000 mid_frac=0.208 hard=score=0.0491927634 wNMSE=0.0011069225 wMSE=84.3258 wMRED=0.02324881 wER=0.090050 wMAE=1.4803 wBias=-0.8795 condBias=4.5903 dotDrift=-6.130sigma uMRED=0.0102407945 uER=0.187500 uMAE=8.8750 WCE=128 bias=-6.7500
[quad_soft:00800] loss=0.049431 tau=1.86 collapse_w=0.000 mid_frac=0.229 hard=score=0.0491927634 wNMSE=0.0011069225 wMSE=84.3258 wMRED=0.02324881 wER=0.090050 wMAE=1.4803 wBias=-0.8795 condBias=4.5903 dotDrift=-6.130sigma uMRED=0.0102407945 uER=0.187500 uMAE=8.8750 WCE=128 bias=-6.7500
