[design] quality quad4 entries=56
[device] cuda
[initial] score=0.0015877353 wNMSE=0.00012742207 wMSE=9.7071 wMRED=0.02810209 wER=0.088891 wMAE=0.7864 wBias=-0.0872 condBias=1.5569 dotDrift=-1.790sigma uMRED=0.0019195893 uER=0.109375 uMAE=1.1250 WCE=16 bias=0.0000
[quad_warmup_bit:00000] loss=0.134419 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0015877353 wNMSE=0.00012742207 wMSE=9.7071 wMRED=0.02810209 wER=0.088891 wMAE=0.7864 wBias=-0.0872 condBias=1.5569 dotDrift=-1.790sigma uMRED=0.0019195893 uER=0.109375 uMAE=1.1250 WCE=16 bias=0.0000
[quad_warmup_bit:00200] loss=0.067393 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0015392671 wNMSE=0.00012633554 wMSE=9.6243 wMRED=0.01964339 wER=0.083718 wMAE=0.7657 wBias=0.0821 condBias=1.5502 dotDrift=+1.695sigma uMRED=0.0018257813 uER=0.109375 uMAE=1.1250 WCE=16 bias=0.1250 *BEST*
[quad_warmup_bit:00400] loss=0.054513 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0015392671 wNMSE=0.00012633554 wMSE=9.6243 wMRED=0.01964339 wER=0.083718 wMAE=0.7657 wBias=0.0821 condBias=1.5502 dotDrift=+1.695sigma uMRED=0.0018257813 uER=0.109375 uMAE=1.1250 WCE=16 bias=0.1250
[quad_warmup_bit:00600] loss=0.046686 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0181541554 wNMSE=0.00026539286 wMSE=20.2177 wMRED=0.02377472 wER=0.090842 wMAE=1.0967 wBias=-0.5417 condBias=2.2464 dotDrift=-7.710sigma uMRED=0.0028395506 uER=0.125000 uMAE=1.8125 WCE=32 bias=-0.8750
[quad_warmup_bit:00800] loss=0.041404 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:01000] loss=0.037864 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:01200] loss=0.035595 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:01400] loss=0.034119 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:01600] loss=0.033110 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:01800] loss=0.032390 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:02000] loss=0.031858 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:02200] loss=0.031452 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:02400] loss=0.031136 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:02600] loss=0.030885 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:02800] loss=0.030684 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:03000] loss=0.030520 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:03200] loss=0.030386 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:03400] loss=0.030273 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:03600] loss=0.030179 tau=1.50 collapse_w=0.000 mid_frac=0.000 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
