[design] quality quad4 entries=56
[device] cuda
[initial] score=1.0730805068 wNMSE=0.011579193 wMSE=882.1070 wMRED=0.72124021 wER=0.249598 wMAE=11.8228 wBias=-4.4099 condBias=14.8384 dotDrift=-9.503sigma uMRED=0.0274522243 uER=0.250000 uMAE=13.6328 WCE=148 bias=5.7500
[quad_warmup_bit:00000] loss=0.132470 tau=1.50 collapse_w=0.000 mid_frac=0.429 hard=score=1.0730805068 wNMSE=0.011579193 wMSE=882.1070 wMRED=0.72124021 wER=0.249598 wMAE=11.8228 wBias=-4.4099 condBias=14.8384 dotDrift=-9.503sigma uMRED=0.0274522243 uER=0.250000 uMAE=13.6328 WCE=148 bias=5.7500
[quad_warmup_bit:00200] loss=0.097253 tau=1.50 collapse_w=0.000 mid_frac=0.482 hard=score=1.6299900637 wNMSE=0.0047206531 wMSE=359.6210 wMRED=0.42109597 wER=0.164476 wMAE=6.5634 wBias=-5.4851 condBias=10.9793 dotDrift=-18.511sigma uMRED=0.0144395583 uER=0.195312 uMAE=6.3438 WCE=64 bias=-2.1250
[quad_warmup_bit:00400] loss=0.077009 tau=1.50 collapse_w=0.000 mid_frac=0.393 hard=score=1.7212963903 wNMSE=0.0047014662 wMSE=358.1594 wMRED=0.42030073 wER=0.162220 wMAE=6.4652 wBias=-5.6361 condBias=11.2815 dotDrift=-19.060sigma uMRED=0.0138204924 uER=0.179688 uMAE=5.8438 WCE=80 bias=-3.6250
[quad_warmup_bit:00575] loss=0.063147 tau=1.50 collapse_w=0.000 mid_frac=0.321 hard=score=0.0083886254 wNMSE=0.0001439328 wMSE=10.9649 wMRED=0.02697352 wER=0.101286 wMAE=0.9204 wBias=-0.3654 condBias=1.6546 dotDrift=-7.062sigma uMRED=0.0023299979 uER=0.132812 uMAE=1.4375 WCE=16 bias=-0.5000 *BEST*
[quad_warmup_bit:00600] loss=0.061332 tau=1.50 collapse_w=0.000 mid_frac=0.286 hard=score=0.0083886254 wNMSE=0.0001439328 wMSE=10.9649 wMRED=0.02697352 wER=0.101286 wMAE=0.9204 wBias=-0.3654 condBias=1.6546 dotDrift=-7.062sigma uMRED=0.0023299979 uER=0.132812 uMAE=1.4375 WCE=16 bias=-0.5000
[quad_warmup_bit:00800] loss=0.049231 tau=1.50 collapse_w=0.000 mid_frac=0.232 hard=score=0.0083886254 wNMSE=0.0001439328 wMSE=10.9649 wMRED=0.02697352 wER=0.101286 wMAE=0.9204 wBias=-0.3654 condBias=1.6546 dotDrift=-7.062sigma uMRED=0.0023299979 uER=0.132812 uMAE=1.4375 WCE=16 bias=-0.5000
[quad_warmup_bit:00875] loss=0.045800 tau=1.50 collapse_w=0.000 mid_frac=0.196 hard=score=0.0066555733 wNMSE=0.00016400496 wMSE=12.4940 wMRED=0.02079279 wER=0.082765 wMAE=0.8653 wBias=-0.3102 condBias=1.7662 dotDrift=-5.617sigma uMRED=0.0022409797 uER=0.117188 uMAE=1.4375 WCE=20 bias=-0.5000 *BEST*
[quad_warmup_bit:01000] loss=0.040244 tau=1.50 collapse_w=0.000 mid_frac=0.161 hard=score=0.0066555733 wNMSE=0.00016400496 wMSE=12.4940 wMRED=0.02079279 wER=0.082765 wMAE=0.8653 wBias=-0.3102 condBias=1.7662 dotDrift=-5.617sigma uMRED=0.0022409797 uER=0.117188 uMAE=1.4375 WCE=20 bias=-0.5000
[quad_warmup_bit:01200] loss=0.035171 tau=1.50 collapse_w=0.000 mid_frac=0.125 hard=score=0.0066555733 wNMSE=0.00016400496 wMSE=12.4940 wMRED=0.02079279 wER=0.082765 wMAE=0.8653 wBias=-0.3102 condBias=1.7662 dotDrift=-5.617sigma uMRED=0.0022409797 uER=0.117188 uMAE=1.4375 WCE=20 bias=-0.5000
[quad_warmup_bit:01400] loss=0.033097 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0066555733 wNMSE=0.00016400496 wMSE=12.4940 wMRED=0.02079279 wER=0.082765 wMAE=0.8653 wBias=-0.3102 condBias=1.7662 dotDrift=-5.617sigma uMRED=0.0022409797 uER=0.117188 uMAE=1.4375 WCE=20 bias=-0.5000
[quad_warmup_bit:01600] loss=0.032080 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0066555733 wNMSE=0.00016400496 wMSE=12.4940 wMRED=0.02079279 wER=0.082765 wMAE=0.8653 wBias=-0.3102 condBias=1.7662 dotDrift=-5.617sigma uMRED=0.0022409797 uER=0.117188 uMAE=1.4375 WCE=20 bias=-0.5000
[quad_warmup_bit:01800] loss=0.031473 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0066555733 wNMSE=0.00016400496 wMSE=12.4940 wMRED=0.02079279 wER=0.082765 wMAE=0.8653 wBias=-0.3102 condBias=1.7662 dotDrift=-5.617sigma uMRED=0.0022409797 uER=0.117188 uMAE=1.4375 WCE=20 bias=-0.5000
[quad_warmup_bit:02000] loss=0.031069 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0066555733 wNMSE=0.00016400496 wMSE=12.4940 wMRED=0.02079279 wER=0.082765 wMAE=0.8653 wBias=-0.3102 condBias=1.7662 dotDrift=-5.617sigma uMRED=0.0022409797 uER=0.117188 uMAE=1.4375 WCE=20 bias=-0.5000
