[design] balanced quad4 entries=56
[device] cuda
[initial] score=0.1003750264 wNMSE=0.0023655263 wMSE=70558.8750 wMRED=0.37546807 wER=0.437500 wMAE=114.8438 wBias=11.8750 condBias=152.3488 dotDrift=+2.861sigma uMRED=0.3754680684 uER=0.437500 uMAE=114.8438 WCE=1255 bias=11.8750
[quad_warmup_bit:00000] loss=0.231129 tau=1.50 collapse_w=0.000 mid_frac=0.482 hard=score=0.1003750264 wNMSE=0.0023655263 wMSE=70558.8750 wMRED=0.37546807 wER=0.437500 wMAE=114.8438 wBias=11.8750 condBias=152.3488 dotDrift=+2.861sigma uMRED=0.3754680684 uER=0.437500 uMAE=114.8438 WCE=1255 bias=11.8750
[quad_warmup_bit:00025] loss=0.224706 tau=1.50 collapse_w=0.000 mid_frac=0.482 hard=score=0.0615651625 wNMSE=0.0014722333 wMSE=43913.7500 wMRED=0.27872882 wER=0.437500 wMAE=94.8438 wBias=-8.7500 condBias=120.1887 dotDrift=-2.672sigma uMRED=0.2787288222 uER=0.437500 uMAE=94.8438 WCE=790 bias=-8.7500 *BEST*
[quad_warmup_bit:00200] loss=0.189126 tau=1.50 collapse_w=0.000 mid_frac=0.518 hard=score=0.0779328203 wNMSE=0.00099150815 wMSE=29574.6875 wMRED=0.21339591 wER=0.403320 wMAE=71.8750 wBias=-14.0625 condBias=98.6332 dotDrift=-5.233sigma uMRED=0.2133959057 uER=0.403320 uMAE=71.8750 WCE=800 bias=-14.0625
[quad_warmup_bit:00325] loss=0.169014 tau=1.50 collapse_w=0.000 mid_frac=0.482 hard=score=0.0546771386 wNMSE=0.00078221852 wMSE=23332.0000 wMRED=0.15186773 wER=0.293945 wMAE=48.7500 wBias=-5.6250 condBias=87.6071 dotDrift=-2.357sigma uMRED=0.1518677257 uER=0.293945 uMAE=48.7500 WCE=800 bias=-5.6250 *BEST*
[quad_warmup_bit:00400] loss=0.158615 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=0.1683312821 wNMSE=0.00050130779 wMSE=14953.0000 wMRED=0.13643802 wER=0.246094 wMAE=32.5000 wBias=-29.3750 condBias=70.1338 dotDrift=-15.374sigma uMRED=0.1364380217 uER=0.246094 uMAE=32.5000 WCE=800 bias=-29.3750
[quad_warmup_bit:00450] loss=0.152374 tau=1.50 collapse_w=0.000 mid_frac=0.339 hard=score=0.0219587451 wNMSE=3.758216e-05 wMSE=1121.0000 wMRED=0.03621071 wER=0.246094 wMAE=12.5000 wBias=-9.3750 condBias=19.2029 dotDrift=-17.920sigma uMRED=0.0362107118 uER=0.246094 uMAE=12.5000 WCE=160 bias=-9.3750 *BEST*
[quad_warmup_bit:00600] loss=0.134354 tau=1.50 collapse_w=0.000 mid_frac=0.286 hard=score=0.0219587451 wNMSE=3.758216e-05 wMSE=1121.0000 wMRED=0.03621071 wER=0.246094 wMAE=12.5000 wBias=-9.3750 condBias=19.2029 dotDrift=-17.920sigma uMRED=0.0362107118 uER=0.246094 uMAE=12.5000 WCE=160 bias=-9.3750
[quad_warmup_bit:00700] loss=0.120456 tau=1.50 collapse_w=0.000 mid_frac=0.196 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250 *BEST*
[quad_warmup_bit:00800] loss=0.108931 tau=1.50 collapse_w=0.000 mid_frac=0.179 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:01000] loss=0.095296 tau=1.50 collapse_w=0.000 mid_frac=0.125 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:01200] loss=0.089499 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
