[design] quality quad4 entries=56
[device] cuda
[initial] score=0.0563505383 wNMSE=0.00017081905 wMSE=5095.1875 wMRED=0.07588822 wER=0.242188 wMAE=28.6875 wBias=17.1875 condBias=35.6903 dotDrift=+15.410sigma uMRED=0.0758882163 uER=0.242188 uMAE=28.6875 WCE=252 bias=17.1875
[quad_warmup_bit:00000] loss=0.132594 tau=1.50 collapse_w=0.000 mid_frac=0.696 hard=score=0.0563505383 wNMSE=0.00017081905 wMSE=5095.1875 wMRED=0.07588822 wER=0.242188 wMAE=28.6875 wBias=17.1875 condBias=35.6903 dotDrift=+15.410sigma uMRED=0.0758882163 uER=0.242188 uMAE=28.6875 WCE=252 bias=17.1875
[quad_warmup_bit:00025] loss=0.129326 tau=1.50 collapse_w=0.000 mid_frac=0.696 hard=score=0.0285162025 wNMSE=0.00010062489 wMSE=3001.4375 wMRED=0.06264306 wER=0.242188 wMAE=20.1875 wBias=9.6875 condBias=27.3927 dotDrift=+11.317sigma uMRED=0.0626430598 uER=0.242188 uMAE=20.1875 WCE=252 bias=9.6875 *BEST*
[quad_warmup_bit:00075] loss=0.123363 tau=1.50 collapse_w=0.000 mid_frac=0.661 hard=score=0.0256778748 wNMSE=9.1719664e-05 wMSE=2735.8125 wMRED=0.06106322 wER=0.242188 wMAE=19.1875 wBias=8.5625 condBias=26.1525 dotDrift=+10.477sigma uMRED=0.0610632154 uER=0.242188 uMAE=19.1875 WCE=252 bias=8.5625 *BEST*
[quad_warmup_bit:00100] loss=0.120599 tau=1.50 collapse_w=0.000 mid_frac=0.661 hard=score=0.0215032305 wNMSE=8.4444616e-05 wMSE=2518.8125 wMRED=0.05880698 wER=0.242188 wMAE=17.1875 wBias=6.5625 condBias=25.0939 dotDrift=+8.369sigma uMRED=0.0588069797 uER=0.242188 uMAE=17.1875 WCE=252 bias=6.5625 *BEST*
[quad_warmup_bit:00175] loss=0.112750 tau=1.50 collapse_w=0.000 mid_frac=0.643 hard=score=0.0151010820 wNMSE=6.4974643e-05 wMSE=1938.0625 wMRED=0.05254396 wER=0.242188 wMAE=14.6094 wBias=3.3125 condBias=22.0117 dotDrift=+4.816sigma uMRED=0.0525439629 uER=0.242188 uMAE=14.6094 WCE=220 bias=3.3125 *BEST*
[quad_warmup_bit:00200] loss=0.110207 tau=1.50 collapse_w=0.000 mid_frac=0.607 hard=score=0.0152167369 wNMSE=6.4811206e-05 wMSE=1933.1875 wMRED=0.05229470 wER=0.242188 wMAE=14.6094 wBias=3.4375 condBias=21.9840 dotDrift=+5.004sigma uMRED=0.0522946992 uER=0.242188 uMAE=14.6094 WCE=220 bias=3.4375
[quad_warmup_bit:00250] loss=0.105173 tau=1.50 collapse_w=0.000 mid_frac=0.554 hard=score=0.0144724774 wNMSE=5.8730506e-05 wMSE=1751.8125 wMRED=0.04999739 wER=0.226562 wMAE=13.9375 wBias=3.6875 condBias=20.9273 dotDrift=+5.639sigma uMRED=0.0499973864 uER=0.226562 uMAE=13.9375 WCE=204 bias=3.6875 *BEST*
[quad_warmup_bit:00275] loss=0.102671 tau=1.50 collapse_w=0.000 mid_frac=0.518 hard=score=0.0065554636 wNMSE=9.6490771e-06 wMSE=287.8125 wMRED=0.01556257 wER=0.218750 wMAE=6.3906 wBias=3.6875 condBias=8.4825 dotDrift=+13.911sigma uMRED=0.0155625702 uER=0.218750 uMAE=6.3906 WCE=76 bias=3.6875 *BEST*
[quad_warmup_bit:00300] loss=0.100175 tau=1.50 collapse_w=0.000 mid_frac=0.500 hard=score=0.0043324393 wNMSE=5.5924835e-06 wMSE=166.8125 wMRED=0.00772235 wER=0.210938 wMAE=4.6875 wBias=1.6875 condBias=6.4578 dotDrift=+8.362sigma uMRED=0.0077223492 uER=0.210938 uMAE=4.6875 WCE=64 bias=1.6875 *BEST*
[quad_warmup_bit:00325] loss=0.097693 tau=1.50 collapse_w=0.000 mid_frac=0.464 hard=score=0.0042229302 wNMSE=5.2572279e-06 wMSE=156.8125 wMRED=0.00724672 wER=0.195312 wMAE=4.4375 wBias=1.4375 condBias=6.2612 dotDrift=+7.347sigma uMRED=0.0072467243 uER=0.195312 uMAE=4.4375 WCE=64 bias=1.4375 *BEST*
[quad_warmup_bit:00400] loss=0.090472 tau=1.50 collapse_w=0.000 mid_frac=0.464 hard=score=0.0060544588 wNMSE=7.2771433e-06 wMSE=217.0625 wMRED=0.00729742 wER=0.179688 wMAE=4.5781 wBias=3.6875 condBias=7.3750 dotDrift=+16.018sigma uMRED=0.0072974216 uER=0.179688 uMAE=4.5781 WCE=68 bias=3.6875
