[design] quality quad4 entries=56
[device] cuda
[initial] score=0.0140210473 wNMSE=0.00012162237 wMSE=3627.7500 wMRED=0.06408636 wER=0.250000 wMAE=26.1094 wBias=-3.1250 condBias=30.1154 dotDrift=-3.321sigma uMRED=0.0640863608 uER=0.250000 uMAE=26.1094 WCE=203 bias=-3.1250
[quad_warmup_bit:00000] loss=0.138520 tau=1.50 collapse_w=0.000 mid_frac=0.482 hard=score=0.0140210473 wNMSE=0.00012162237 wMSE=3627.7500 wMRED=0.06408636 wER=0.250000 wMAE=26.1094 wBias=-3.1250 condBias=30.1154 dotDrift=-3.321sigma uMRED=0.0640863608 uER=0.250000 uMAE=26.1094 WCE=203 bias=-3.1250
[quad_warmup_bit:00050] loss=0.130021 tau=1.50 collapse_w=0.000 mid_frac=0.464 hard=score=0.0109166051 wNMSE=6.0402594e-05 wMSE=1801.6875 wMRED=0.04112825 wER=0.250000 wMAE=18.0938 wBias=-3.0625 condBias=21.2231 dotDrift=-4.618sigma uMRED=0.0411282465 uER=0.250000 uMAE=18.0938 WCE=155 bias=-3.0625 *BEST*
[quad_warmup_bit:00075] loss=0.126083 tau=1.50 collapse_w=0.000 mid_frac=0.464 hard=score=0.0108135857 wNMSE=6.0427738e-05 wMSE=1802.4375 wMRED=0.04118278 wER=0.250000 wMAE=18.0938 wBias=-2.9375 condBias=21.2276 dotDrift=-4.428sigma uMRED=0.0411827751 uER=0.250000 uMAE=18.0938 WCE=155 bias=-2.9375 *BEST*
[quad_warmup_bit:00100] loss=0.122324 tau=1.50 collapse_w=0.000 mid_frac=0.446 hard=score=0.0106471882 wNMSE=6.031878e-05 wMSE=1799.1875 wMRED=0.04086278 wER=0.250000 wMAE=18.1016 wBias=-3.3125 condBias=21.2084 dotDrift=-4.998sigma uMRED=0.0408627777 uER=0.250000 uMAE=18.1016 WCE=147 bias=-3.3125 *BEST*
[quad_warmup_bit:00150] loss=0.115259 tau=1.50 collapse_w=0.000 mid_frac=0.429 hard=score=0.0078790493 wNMSE=1.67104e-05 wMSE=498.4375 wMRED=0.01471613 wER=0.250000 wMAE=7.6562 wBias=-2.3125 condBias=11.1629 dotDrift=-6.629sigma uMRED=0.0147161292 uER=0.250000 uMAE=7.6562 WCE=116 bias=-2.3125 *BEST*
[quad_warmup_bit:00175] loss=0.111907 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=0.0077277639 wNMSE=1.6496674e-05 wMSE=492.0625 wMRED=0.01435173 wER=0.242188 wMAE=7.5938 wBias=-2.0625 condBias=11.0912 dotDrift=-5.951sigma uMRED=0.0143517316 uER=0.242188 uMAE=7.5938 WCE=116 bias=-2.0625 *BEST*
[quad_warmup_bit:00200] loss=0.108645 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=0.0077277639 wNMSE=1.6496674e-05 wMSE=492.0625 wMRED=0.01435173 wER=0.242188 wMAE=7.5938 wBias=-2.0625 condBias=11.0912 dotDrift=-5.951sigma uMRED=0.0143517316 uER=0.242188 uMAE=7.5938 WCE=116 bias=-2.0625
[quad_warmup_bit:00300] loss=0.096384 tau=1.50 collapse_w=0.000 mid_frac=0.357 hard=score=0.0023240482 wNMSE=1.9926759e-06 wMSE=59.4375 wMRED=0.00734498 wER=0.242188 wMAE=3.0547 wBias=-1.4375 condBias=3.8548 dotDrift=-11.933sigma uMRED=0.0073449750 uER=0.242188 uMAE=3.0547 WCE=33 bias=-1.4375 *BEST*
[quad_warmup_bit:00375] loss=0.088365 tau=1.50 collapse_w=0.000 mid_frac=0.321 hard=score=0.0021728825 wNMSE=1.4709342e-06 wMSE=43.8750 wMRED=0.00413095 wER=0.210938 wMAE=2.5234 wBias=-1.0000 condBias=3.3119 dotDrift=-9.662sigma uMRED=0.0041309537 uER=0.210938 uMAE=2.5234 WCE=33 bias=-1.0000 *BEST*
[quad_warmup_bit:00400] loss=0.085962 tau=1.50 collapse_w=0.000 mid_frac=0.321 hard=score=0.0021728825 wNMSE=1.4709342e-06 wMSE=43.8750 wMRED=0.00413095 wER=0.210938 wMAE=2.5234 wBias=-1.0000 condBias=3.3119 dotDrift=-9.662sigma uMRED=0.0041309537 uER=0.210938 uMAE=2.5234 WCE=33 bias=-1.0000
[quad_warmup_bit:00500] loss=0.077380 tau=1.50 collapse_w=0.000 mid_frac=0.321 hard=score=0.0021101308 wNMSE=1.2278739e-06 wMSE=36.6250 wMRED=0.00340790 wER=0.195312 wMAE=2.0859 wBias=-0.7500 condBias=3.0259 dotDrift=-7.931sigma uMRED=0.0034079044 uER=0.195312 uMAE=2.0859 WCE=33 bias=-0.7500 *BEST*
[quad_warmup_bit:00525] loss=0.075415 tau=1.50 collapse_w=0.000 mid_frac=0.321 hard=score=0.0010110302 wNMSE=5.950788e-07 wMSE=17.7500 wMRED=0.00240386 wER=0.187500 wMAE=1.4375 wBias=0.3750 condBias=2.1065 dotDrift=+5.697sigma uMRED=0.0024038648 uER=0.187500 uMAE=1.4375 WCE=16 bias=0.3750 *BEST*
[quad_warmup_bit:00600] loss=0.069844 tau=1.50 collapse_w=0.000 mid_frac=0.304 hard=score=0.0010042234 wNMSE=5.8879276e-07 wMSE=17.5625 wMRED=0.00232530 wER=0.171875 wMAE=1.4062 wBias=0.3125 condBias=2.0954 dotDrift=+4.772sigma uMRED=0.0023253016 uER=0.171875 uMAE=1.4062 WCE=16 bias=0.3125 *BEST*
[quad_warmup_bit:00750] loss=0.060073 tau=1.50 collapse_w=0.000 mid_frac=0.125 hard=score=0.0009887372 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00182578 wER=0.109375 wMAE=1.1250 wBias=0.1250 condBias=1.9365 dotDrift=+2.066sigma uMRED=0.0018257813 uER=0.109375 uMAE=1.1250 WCE=16 bias=0.1250 *BEST*
[quad_warmup_bit:00800] loss=0.057588 tau=1.50 collapse_w=0.000 mid_frac=0.125 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:01000] loss=0.051412 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:01200] loss=0.048180 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:01400] loss=0.046605 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:01600] loss=0.045754 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:01800] loss=0.045227 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:02000] loss=0.044872 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:02200] loss=0.044621 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:02400] loss=0.044434 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:02600] loss=0.044291 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:02800] loss=0.044178 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:03000] loss=0.044088 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
[quad_warmup_bit:03200] loss=0.044015 tau=1.50 collapse_w=0.000 mid_frac=0.071 hard=score=0.0010048211 wNMSE=3.3525566e-07 wMSE=10.0000 wMRED=0.00143691 wER=0.109375 wMAE=0.8750 wBias=0.3750 condBias=1.5811 dotDrift=+7.589sigma uMRED=0.0014369105 uER=0.109375 uMAE=0.8750 WCE=16 bias=0.3750
